Phylum ,Abundance,Station ,Type 
Deltaproteobacteria,9.941878668,10,Surface_FL
Actinobacteria,7.76062722,10,Surface_FL
Bacteroidetes,21.46950331,10,Surface_FL
Chlamydiae,0.013611554,10,Surface_FL
Chloroflexi,0,10,Surface_FL
Cyanobacteria,6.061905345,10,Surface_FL
Deferribacteres,0.027903685,10,Surface_FL
Lentisphaerae,0,10,Surface_FL
Plantomycetes,0.513836144,10,Surface_FL
Verrucomicrobia,3.260647638,10,Surface_FL
Unclassified_Bacteria,0.030625995,10,Surface_FL
Alphaproteobacteria,49.09580786,1,Surface_PA
Betaproteobacteria,1.36773577,1,Surface_PA
Gammaproteobacteria,11.7488569,1,Surface_PA
Deltaproteobacteria,11.7488569,1,Surface_PA
Actinobacteria,1.212446993,1,Surface_PA
Bacteroidetes,12.3428033,1,Surface_PA
Chlamydiae,0,1,Surface_PA
Chloroflexi,0.002654509,1,Surface_PA
Cyanobacteria,10.91202293,1,Surface_PA
Deferribacteres,0.006636273,1,Surface_PA
Lentisphaerae,0.000663627,1,Surface_PA
Plantomycetes,0.013936172,1,Surface_PA
Verrucomicrobia,1.48851593,1,Surface_PA
Unclassified_Bacteria,0.016590682,1,Surface_PA
Alphaproteobacteria,22.65633968,2,Surface_PA
Betaproteobacteria,0.474708119,2,Surface_PA
Gammaproteobacteria,11.27482426,2,Surface_PA
Deltaproteobacteria,11.27482426,2,Surface_PA
Actinobacteria,1.791466058,2,Surface_PA
Bacteroidetes,34.07161812,2,Surface_PA
Chlamydiae,0.001350521,2,Surface_PA
Chloroflexi,0,2,Surface_PA
Cyanobacteria,8.125409377,2,Surface_PA
Deferribacteres,0.003376302,2,Surface_PA
Lentisphaerae,0,2,Surface_PA
Plantomycetes,0.22486174,2,Surface_PA
Verrucomicrobia,9.575193635,2,Surface_PA
Unclassified_Bacteria,0.51860005,2,Surface_PA
Alphaproteobacteria,12.2112702,3,Surface_PA
Betaproteobacteria,0.288906827,3,Surface_PA
Gammaproteobacteria,8.068148021,3,Surface_PA
Deltaproteobacteria,8.068148021,3,Surface_PA
Actinobacteria,1.207318973,3,Surface_PA
Bacteroidetes,29.35661582,3,Surface_PA
Chlamydiae,0.00424863,3,Surface_PA
Chloroflexi,0,3,Surface_PA
Cyanobacteria,12.23392956,3,Surface_PA
Deferribacteres,0.070102392,3,Surface_PA
Lentisphaerae,0.00424863,3,Surface_PA
Plantomycetes,13.28192491,3,Surface_PA
Verrucomicrobia,14.49915736,3,Surface_PA
Unclassified_Bacteria,0.687569925,3,Surface_PA
Alphaproteobacteria,7.330272102,4,Surface_PA
Betaproteobacteria,0.298143674,4,Surface_PA
Gammaproteobacteria,5.618303555,4,Surface_PA
Deltaproteobacteria,5.618303555,4,Surface_PA
Actinobacteria,3.415957578,4,Surface_PA
Bacteroidetes,28.30841548,4,Surface_PA
Chlamydiae,0.056582011,4,Surface_PA
Chloroflexi,0,4,Surface_PA
Cyanobacteria,10.90581997,4,Surface_PA
Deferribacteres,0.05440578,4,Surface_PA
Lentisphaerae,0.00072541,4,Surface_PA
Plantomycetes,30.73563869,4,Surface_PA
Verrucomicrobia,7.252653188,4,Surface_PA
Unclassified_Bacteria,0.304672369,4,Surface_PA
Alphaproteobacteria,9.964544141,5,Surface_PA
Betaproteobacteria,0.385672937,5,Surface_PA
Gammaproteobacteria,6.307525326,5,Surface_PA
Deltaproteobacteria,6.307525326,5,Surface_PA
Actinobacteria,2.694645441,5,Surface_PA
Bacteroidetes,38.97467438,5,Surface_PA
Chlamydiae,0.115050651,5,Surface_PA
Chloroflexi,0.006512301,5,Surface_PA
Cyanobacteria,9.240955138,5,Surface_PA
Deferribacteres,0.006512301,5,Surface_PA
Lentisphaerae,0.33357453,5,Surface_PA
Plantomycetes,5.767004342,5,Surface_PA
Verrucomicrobia,15.7959479,5,Surface_PA
Unclassified_Bacteria,3.945007236,5,Surface_PA
Alphaproteobacteria,16.8901548,6,Surface_PA
Betaproteobacteria,0.584542109,6,Surface_PA
Gammaproteobacteria,12.76317926,6,Surface_PA
Deltaproteobacteria,12.76317926,6,Surface_PA
Actinobacteria,3.829292054,6,Surface_PA
Bacteroidetes,17.7344934,6,Surface_PA
Chlamydiae,0.150194848,6,Surface_PA
Chloroflexi,0,6,Surface_PA
Cyanobacteria,14.75968824,6,Surface_PA
Deferribacteres,0,6,Surface_PA
Lentisphaerae,0.096070578,6,Surface_PA
Plantomycetes,7.233708594,6,Surface_PA
Verrucomicrobia,6.787183372,6,Surface_PA
Unclassified_Bacteria,6.183021216,6,Surface_PA
Alphaproteobacteria,9.548856073,7,Surface_PA
Betaproteobacteria,0.203151433,7,Surface_PA
Gammaproteobacteria,6.12335355,7,Surface_PA
Deltaproteobacteria,6.12335355,7,Surface_PA
Actinobacteria,2.640229893,7,Surface_PA
Bacteroidetes,25.93172634,7,Surface_PA
Chlamydiae,0.021423242,7,Surface_PA
Chloroflexi,0,7,Surface_PA
Cyanobacteria,12.82144098,7,Surface_PA
Deferribacteres,0,7,Surface_PA
Lentisphaerae,0.019945777,7,Surface_PA
Plantomycetes,14.81306374,7,Surface_PA
Verrucomicrobia,21.52518709,7,Surface_PA
Unclassified_Bacteria,0.215709885,7,Surface_PA
Alphaproteobacteria,17.5112409,8,Surface_PA
Betaproteobacteria,2.081698655,8,Surface_PA
Gammaproteobacteria,11.31049447,8,Surface_PA
Deltaproteobacteria,11.31049447,8,Surface_PA
Actinobacteria,3.199989083,8,Surface_PA
Bacteroidetes,35.44482577,8,Surface_PA
Chlamydiae,0.027974318,8,Surface_PA
Chloroflexi,0.060042439,8,Surface_PA
Cyanobacteria,5.721089224,8,Surface_PA
Deferribacteres,0.056630937,8,Surface_PA
Lentisphaerae,0.095522062,8,Surface_PA
Plantomycetes,4.232309655,8,Surface_PA
Verrucomicrobia,6.367910045,8,Surface_PA
Unclassified_Bacteria,2.406473666,8,Surface_PA
Alphaproteobacteria,13.58483871,10,Surface_PA
Betaproteobacteria,1.006612935,10,Surface_PA
Gammaproteobacteria,11.37574984,10,Surface_PA
Deltaproteobacteria,11.37574984,10,Surface_PA
Actinobacteria,3.721396838,10,Surface_PA
Bacteroidetes,22.76446622,10,Surface_PA
Chlamydiae,1.205888174,10,Surface_PA
Chloroflexi,0.072339642,10,Surface_PA
Cyanobacteria,14.56142386,10,Surface_PA
Deferribacteres,0.003412247,10,Surface_PA
Lentisphaerae,0.427213354,10,Surface_PA
Plantomycetes,8.155270899,10,Surface_PA
Verrucomicrobia,9.623902113,10,Surface_PA
Unclassified_Bacteria,1.978420948,10,Surface_PA
Alphaproteobacteria,6.318506266,1,CIL_FL
Betaproteobacteria,0.902367911,1,CIL_FL
Gammaproteobacteria,20.42685478,1,CIL_FL
Deltaproteobacteria,20.42685478,1,CIL_FL
Actinobacteria,3.675121807,1,CIL_FL
Bacteroidetes,14.27762295,1,CIL_FL
Chlamydiae,0.314734599,1,CIL_FL
Chloroflexi,0.095900726,1,CIL_FL
Cyanobacteria,3.390637772,1,CIL_FL
Deferribacteres,0.028319678,1,CIL_FL
Lentisphaerae,0.915884121,1,CIL_FL
Plantomycetes,19.83471606,1,CIL_FL
Verrucomicrobia,8.398715317,1,CIL_FL
Unclassified_Bacteria,0.526488553,1,CIL_FL
Alphaproteobacteria,24.96324678,2,CIL_FL
Betaproteobacteria,0.874552884,2,CIL_FL
Gammaproteobacteria,23.42308449,2,CIL_FL
Deltaproteobacteria,23.42308449,2,CIL_FL
Actinobacteria,1.69180548,2,CIL_FL
Bacteroidetes,16.58467131,2,CIL_FL
Chlamydiae,0,2,CIL_FL
Chloroflexi,0.013312188,2,CIL_FL
Cyanobacteria,0.149906815,2,CIL_FL
Deferribacteres,0.048618426,2,CIL_FL
Lentisphaerae,0.045724472,2,CIL_FL
Plantomycetes,0.189843379,2,CIL_FL
Verrucomicrobia,8.53774295,2,CIL_FL
Unclassified_Bacteria,0.023730423,2,CIL_FL
Alphaproteobacteria,29.7994627,3,CIL_FL
Betaproteobacteria,0.890946698,3,CIL_FL
Gammaproteobacteria,22.35033998,3,CIL_FL
Deltaproteobacteria,22.35033998,3,CIL_FL
Actinobacteria,1.482929961,3,CIL_FL
Bacteroidetes,16.34313632,3,CIL_FL
Chlamydiae,0.001188722,3,CIL_FL
Chloroflexi,0.06775712,3,CIL_FL
Cyanobacteria,0.423184822,3,CIL_FL
Deferribacteres,0.265679235,3,CIL_FL
Lentisphaerae,0.010104132,3,CIL_FL
