SampleID,Station,SizeFraction ,Depth,bacteria,Salinity,Temp,Chl A ,NO3-  ,NO2-,PO43-,NH4+ ,SiO2-  ,DOC ,HNA,LNA,Color,Symbol
DM1,St1_FL_CIL,FL,65,3.54E+05,32.4,1,0.056,4.713,0.161,0.705,0.5,3.49,8.7,2.19E+05,1.35E+05,orange,17
DM2,St2_FL_CIL,FL,65,2.79E+05,32,0.44,0.147,2.796,0.121,0.716,1.247,0.691,4.9,2.07E+05,7.18E+05,orange,17
DM3,St3_FL_CIL,FL,50,3.07E+05,32.1,0.06,0.262,4.074,0.194,0.758,0.997,3.702,5.5,1.87E+05,1.20E+05,orange,17
DM4,St4_FL_CIL,FL,50,4.37E+05,32,0.45,0.181,3.602,0.212,0.715,1.656,2.857,7.4,2.59E+05,1.77E+05,orange,17
DM5,St5_FL_CIL,FL,50,2.48E+05,32.2,0.16,0.064,6.231,0.252,0.9,2.214,6.163,9.7,1.47E+05,1.01E+05,orange,17
DM6,St6_FL_CIL,FL,55,3.82E+05,32.4,0.98,0.075,12.123,0.113,1.197,0.5,14.926,7.7,2.41E+05,1.41E+05,orange,17
DM7,St7_FL_CIL,FL,50,4.38E+05,32.1,0.74,0.114,5.385,0.298,0.853,2.604,6.414,16.2,2.89E+05,1.50E+05,orange,17
DM8,St8_FL_CIL,FL,55,3.14E+05,32.4,0.51,0.131,6.521,0.252,0.925,1.518,6.916,4.7,1.80E+05,1.34E+05,orange,17
DM9,St10_FL_CIL,FL,65,2.86E+05,32.3,-0.1,0.065,8.693,0.183,1.065,0.813,10.498,5.9,1.64E+05,1.22E+05,orange,17
